,epoch,train acc,valid acc
0,0.0,0.5842325581543205,0.630158729780288
1,1.0,0.7660542635326237,0.7868480724001687
2,2.0,0.8326201550165813,0.8512471653166271
3,3.0,0.8678294573828231,0.8882086170773927
4,4.0,0.8918217054078745,0.9018140592542635
5,5.0,0.9008992248468621,0.9079365079635395
6,6.0,0.915023255854614,0.9163265306663081
7,7.0,0.9251162791104279,0.9215419501674419
8,8.0,0.9334418605057768,0.9312925172771186
9,9.0,0.9380930232853852,0.9299319725458314
10,10.0,0.9401627907124601,0.9346938778213363
11,11.0,0.9465038759468137,0.9367346939045826
12,12.0,0.9480775194020234,0.9414965984232031
13,13.0,0.9515503875821135,0.9367346939316142
14,14.0,0.9499147287302239,0.9437641726059167
15,15.0,0.9554263565558796,0.9437641726329483
16,16.0,0.9557131783241449,0.9392290249703422
17,17.0,0.9592480620007182,0.9460317457884617
18,18.0,0.9629534883388253,0.9462585034283921
19,19.0,0.961790697659633,0.946258503698708
20,20.0,0.9520387596751368,0.9435374152633338
21,21.0,0.9629147286932598,0.9480725623853082
22,22.0,0.9632480619637541,0.947165533177166
23,23.0,0.9663488372129987,0.9503401363517692
24,24.0,0.9676201549980992,0.9521541950383694
25,25.0,0.9681317829568257,0.9569160997732427
26,26.0,0.9639534883757894,0.9541950113919316
27,27.0,0.9676821705019751,0.9598639458755788
28,28.0,0.9661627906644067,0.9535147394993408
29,29.0,0.9740542635400166,0.9585034013875758
30,30.0,0.9736511627833049,0.956235827934715
31,31.0,0.9701550387264222,0.9501133784685546
32,32.0,0.9708527132152587,0.9541950116081843
