,epochs,train acc,valid acc
0,0,0.5412588221696079,0.5424036280368191
1,1,0.6741524933458382,0.6764172334519644
2,2,0.7364109684068489,0.7433106579207509
3,3,0.7831655675043845,0.7945578234536307
4,4,0.8085618419475086,0.8115646259584665
5,5,0.8302556982460252,0.8299319728702104
6,6,0.843908365144093,0.8541950114189633
7,7,0.8543445562800502,0.8578231293327955
8,8,0.8631956496642004,0.8689342402006223
9,9,0.8707740367845047,0.8646258504212309
10,10,0.8757491611626141,0.8705215420312081
11,11,0.8833275483077452,0.8802721086543163
12,12,0.8873423579678993,0.8897959184484417
13,13,0.8920629410987566,0.8888888889699836
14,14,0.8979289598532826,0.8963718821942941
15,15,0.8990859655115763,0.8863945576068766
16,16,0.9005785028360431,0.9031746029583505
17,17,0.9067222029305189,0.9013605440014344
18,18,0.9082147402536065,0.9049886619152666
19,19,0.9072775656628302,0.899773242927733
20,20,0.9087006826333449,0.8993197277019354
21,21,0.9093254656975405,0.9031746029313189
22,22,0.9138262177512255,0.904761904815968
23,23,0.912946893430123,0.9022675734798924
24,24,0.9183269697924972,0.8988662135033381
25,25,0.9183038296901447,0.9074829932513421
26,26,0.920004628026815,0.9049886619152666
27,27,0.9211847738067709,0.9104308388130464
28,28,0.9239615874021235,0.9090702945953594
29,29,0.9212889043087349,0.9027210882191214
30,30,0.9268656716431704,0.9115646259044033
31,31,0.9263334490352795,0.9108843535252439
32,32,0.9258706467565143,0.9097505671907715
33,33,0.9255929654069097,0.9147392290519749
34,34,0.9273631840713265,0.9077097503506407
35,35,0.9272474835154277,0.9129251703653747
36,36,0.932141617495305,0.9197278909402099
37,37,0.9294110841060366,0.908390023000116
38,38,0.9278144162837435,0.9070294784850814
39,39,0.9291218326873254,0.9172335598744503
40,40,0.9322226078907787,0.9197278912375574
41,41,0.931297003358075,0.915646258854812
42,42,0.9337498553660157,0.9210884356714971
43,43,0.9295152146148968,0.9108843537955598
44,44,0.9341663774180079,0.9231292515114592
45,45,0.9257780863029681,0.9054421771951273
46,46,0.9379497859567096,0.9133786845910036
47,47,0.9334374638449521,0.9188208614617519
48,48,0.934895290988305,0.9195011341112271
49,49,0.9345828994465525,0.9210884354282128
50,50,0.9367117898891497,0.9201814057064706
51,51,0.9354159435395026,0.9201814059227232
52,52,0.9360985768747512,0.9229024946554448
53,53,0.9383200277584812,0.9231292517547435
54,54,0.9379844961143762,0.9240362814764858
55,55,0.9395695938923894,0.9208616783289142
56,56,0.9337961355941682,0.9172335598744503
57,57,0.9338539858872894,0.9204081630490535
58,58,0.9366770797190699,0.9308390025649211
59,59,0.9401596667823673,0.9217687075100248
60,60,0.9396043040624692,0.9213151927978274
61,61,0.9393381927585238,0.9287981856977588
62,62,0.9408538701839639,0.9213151927707958
63,63,0.9431447414119914,0.9301587299424775
64,64,0.9396158741108869,0.9244897959453989
65,65,0.9398935554687671,0.9208616777612508
66,66,0.9399514057632675,0.9269841272814744
67,67,0.94135138261212,0.9267573699118599
68,68,0.943225731796431,0.9260770975327005
69,69,0.9464653476815829,0.9188208614617519
70,70,0.9397315746847159,0.9151927438182355
71,71,0.9447992595177509,0.9281179141565785
72,72,0.9435381233285288,0.9242630383054685
73,73,0.9449033900183356,0.9272108844078046
74,74,0.9430406108893385,0.9249433104413437
75,75,0.942473678111368,0.9240362814764858
76,76,0.9440587758811055,0.91814058989354
77,77,0.9441050561161543,0.9208616783018826
78,78,0.9443827374657588,0.9222222225466012
79,79,0.9457595742136381,0.9265306125692769
80,80,0.9402406571805995,0.9226757367451985
81,81,0.9453430521837142,0.9269841267678743
82,82,0.9479694550503297,0.9258503404334019
83,83,0.9486636584533057,0.9383219957892316
84,84,0.946303366887877,0.925170068081274
85,85,0.9459446951193513,0.9240362812602331
86,86,0.93956959389101,0.9210884357255603
87,87,0.9375564040194835,0.9217687075100248
88,88,0.9460719657429774,0.9292517004640194
89,89,0.9455744533065457,0.9321995467826082
90,90,0.9471595510735248,0.933106576017782
91,91,0.9490686104375704,0.931519274133133
92,92,0.9482702765160794,0.9321995462690081
93,93,0.9506884183746293,0.9287981857247904
94,94,0.9439777854814941,0.9249433104413437
95,95,0.9491264607127612,0.9253968254508885
96,96,0.9486289482721918,0.9287981857247904
97,97,0.947761194020196,0.9272108846510889
98,98,0.9506305680911629,0.9253968254508885
99,99,0.9452504917287887,0.9229024943580973
